date,sku,scent_name,rating,scent_strength,scent_appeal,cleaning_power,cap_pouring
2026-07-06,CZ,Signature Cozy,3.0,-1.0,4.0,4.0,3.0
2026-07-06,DP,Desert Poppy,3.0,-1.0,5.0,4.0,3.0
2026-07-06,VM,Vanilla Moon,3.0,-1.0,5.0,4.0,3.0
2026-07-06,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-07-06,HR,Hollywood Rouge,5.0,1.0,5.0,5.0,5.0
2026-07-05,GH,Golden Hour,2.0,-1.0,3.0,3.0,3.0
2026-07-05,CZ,Signature Cozy,1.0,1.0,1.0,3.0,3.0
2026-07-04,DP,Desert Poppy,5.0,0.0,5.0,5.0,5.0
2026-07-04,MM,Malibu Mornings,5.0,0.0,5.0,5.0,5.0
2026-07-04,VM,Vanilla Moon,5.0,0.0,5.0,5.0,4.0
2026-07-04,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-07-03,GH,1 Pack,5.0,,,,
2026-07-03,AW,Alpine Woods,5.0,0.0,5.0,5.0,5.0
2026-07-03,DP,1 Pack,3.0,,,,
2026-07-02,VM,Vanilla Moon,5.0,0.0,5.0,5.0,5.0
2026-07-02,DP,Desert Poppy,5.0,0.0,5.0,5.0,5.0
2026-07-02,MM,Malibu Mornings,5.0,-0.5,5.0,5.0,5.0
2026-07-02,HR,Hollywood Rouge,5.0,0.0,5.0,5.0,5.0
2026-07-01,DP,Desert Poppy,5.0,-0.5,5.0,4.0,4.0
2026-07-01,CZ,Signature Cozy,2.0,-1.0,3.0,2.0,3.0
2026-07-01,CC,Central Coast,1.0,1.0,1.0,1.0,1.0
2026-06-30,CZ,Signature Cozy,1.0,-1.0,1.0,1.0,1.0
2026-06-30,CC,Central Coast,5.0,0.0,5.0,5.0,3.0
2026-06-30,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-06-30,SD,Sugar Dew,5.0,0.0,5.0,5.0,5.0
2026-06-30,CC,Central Coast,1.0,-0.5,1.0,2.0,2.0
2026-06-30,VM,Vanilla Moon,3.0,-0.5,4.0,2.0,1.0
2026-06-30,CZ,Signature Cozy,5.0,0.0,5.0,4.0,4.0
2026-06-30,CZ,Signature Cozy,1.0,-1.0,1.0,1.0,2.0
2026-06-30,CC,Central Coast,5.0,-0.5,4.0,5.0,2.0
2026-06-30,VM,Vanilla Moon,5.0,0.0,5.0,5.0,5.0
2026-06-29,VM,Vanilla Moon,5.0,0.0,5.0,5.0,5.0
2026-06-29,GH,Golden Hour,5.0,0.0,5.0,5.0,4.0
2026-06-29,SD,Sugar Dew,5.0,0.0,5.0,5.0,5.0
2026-06-29,VM,Vanilla Moon,4.0,0.0,5.0,5.0,5.0
2026-06-29,MM,Malibu Mornings,5.0,0.0,5.0,5.0,5.0
2026-06-29,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-06-29,CC,Central Coast,4.0,0.0,5.0,5.0,1.0
2026-06-29,GH,Golden Hour,5.0,0.0,5.0,5.0,4.0
2026-06-29,DP,Desert Poppy,5.0,0.0,5.0,5.0,5.0
2026-06-29,AW,Alpine Woods,3.0,0.0,1.0,4.0,4.0
2026-06-29,GH,Golden Hour,5.0,0.0,5.0,5.0,3.0
2026-06-29,GH,Golden Hour,5.0,0.0,5.0,4.0,5.0
2026-06-28,VM,Vanilla Moon,4.0,-0.5,4.0,4.0,1.0
2026-06-28,DP,Desert Poppy,5.0,0.0,5.0,4.0,2.0
2026-06-27,GH,Golden Hour,5.0,0.0,5.0,5.0,5.0
2026-06-27,HR,Hollywood Rouge,5.0,0.0,5.0,5.0,4.0
2026-06-26,CZ,1 Pack,5.0,,,,
2026-06-26,CZ,Signature Cozy,5.0,0.0,5.0,5.0,4.0
2026-06-26,CZ,Signature Cozy,5.0,0.0,5.0,5.0,4.0
2026-06-26,AW,Alpine Woods,5.0,0.0,5.0,4.0,2.0
